id,city,address,area,year,floors,type,passability,revenue,quantity,gain
7873,Владивосток,"ул. Адмирала Юмашева, д. 7, стр. Б","4264,8",2000,15,0,44956,"4045618,75",1,"3312,85468480984"
7872,Владивосток,"ул. Адмирала Юмашева, д. 7 Б","7030,6",1995,10,0,105538,6708930,1,"8785,37218331839"
4887,Владивосток,"ул. Адмирала Юмашева, д. 6а","2101,6",1961,5,0,50938,"2015857,125",0,"1503,29385521817"
4886,Владивосток,"ул. Адмирала Юмашева, д. 6А","2083,7",1961,1,0,55553,"2027045,125",0,"1511,63713086186"
4885,Владивосток,"ул. Адмирала Юмашева, д. 6","3513,9",1962,5,0,64010,"3365431,75",0,"2509,71797911081"
4884,Владивосток,"ул. Адмирала Юмашева, д. 4","3974,7",1961,5,1,64964,"3795950,75",0,"2830,77077557557"
4883,Владивосток,"ул. Адмирала Юмашева, д. 38","4164,1",1962,5,0,73142,"3985365,25",1,"3189,0470250418"
4882,Владивосток,"ул. Адмирала Юмашева, д. 36","3865,8",1962,5,0,55740,"3684989,75",0,"2748,02334898458"
4881,Владивосток,"ул. Адмирала Юмашева, д. 34",4144,1962,5,0,95184,"3993169,75",1,"3205,08355205948"
4880,Владивосток,"ул. Адмирала Юмашева, д. 32","3962,5",1962,5,0,92500,3819956,1,"2849,16748034339"
4879,Владивосток,"ул. Адмирала Юмашева, д. 30","4191,3",1962,5,0,82146,4021715,1,"3263,73774808118"
4878,Владивосток,"ул. Адмирала Юмашева, д. 28а","4170,9",1962,5,0,38385,3760011,0,"2803,96927031856"
4877,Владивосток,"ул. Адмирала Юмашева, д. 28","2069,2",1962,5,0,35793,1978407,0,"1475,36601147793"
4876,Владивосток,"ул. Адмирала Юмашева, д. 26а","2227,5",1964,5,1,33200,"2121354,75",0,"1581,9670555337"
4875,Владивосток,"ул. Адмирала Юмашева, д. 26","2199,7",1962,5,0,51232,"2119269,25",0,"1580,411826596"
4874,Владивосток,"ул. Адмирала Юмашева, д. 24а","2335,3",1965,9,0,36709,"2228712,25",0,"1662,02722847953"
4873,Владивосток,"ул. Адмирала Юмашева, д. 24","3987,9",1964,5,0,33464,"3409364,5",0,"2542,48013883869"
4872,Владивосток,"ул. Адмирала Юмашева, д. 22а","1988,51",1962,5,0,46614,"1915914,625",0,"1428,76330230255"
4871,Владивосток,"ул. Адмирала Юмашева, д. 22","4138,53",1962,5,0,39908,3835122,1,"2880,33026703697"
4870,Владивосток,"ул. Адмирала Юмашева, д. 20б","2001,8",1961,5,0,62030,"1946983,625",0,"1451,93252208928"
4869,Владивосток,"ул. Адмирала Юмашева, д. 20а","3841,9",1962,5,0,65577,"3674491,5",0,"2740,19444359252"
4868,Владивосток,"ул. Адмирала Юмашева, д. 20","4233,2",1968,5,0,74206,4051362,1,"3324,65579747488"
4867,Владивосток,"ул. Адмирала Юмашева, д. 2","2218,7",1962,5,0,46840,"2131756,75",0,"1589,72418399684"
7871,Владивосток,"ул. Адмирала Юмашева, д. 19","6254,1",1994,9,0,63920,5929205,1,"7183,2091967262"
4866,Владивосток,"ул. Адмирала Юмашева, д. 18б","2100,9",1961,5,0,58552,"2035587,5",0,"1518,00747312829"
4865,Владивосток,"ул. Адмирала Юмашева, д. 18а","4205,6",1962,5,6,84051,"4024416,5",1,"3269,28873504233"
4864,Владивосток,"ул. Адмирала Юмашева, д. 18","4083,1",1962,5,0,69702,"3905354,75",1,"3024,64308565454"
4863,Владивосток,"ул. Адмирала Юмашева, д. 16д","2499,2",1966,5,5,49421,"2386731,75",0,"1779,86779386912"
4862,Владивосток,"ул. Адмирала Юмашева, д. 16г","4011,1",1966,5,0,85907,"3857504,25",1,"2926,32085667647"
4861,Владивосток,"ул. Адмирала Юмашева, д. 16б","2181,3",1961,5,0,68811,"2123274,5",0,"1583,39867900679"
