id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6091,"г. Хабаровск, ул. Клубная, д. 22",0,76776,4711,,,,
6092,"г. Хабаровск, ул. Клубная, д. 24",0,28968,1375.1,,,,
6093,"г. Хабаровск, ул. Клубная, д. 25",0,23654,560.9,,,,
6094,"г. Хабаровск, ул. Клубная, д. 26",0,36143,1654.6,,,,
6095,"г. Хабаровск, ул. Клубная, д. 28",0,19028,1401.4,,,,
6096,"г. Хабаровск, ул. Клубная, д. 29",0,20240,437.7,,,,
6097,"г. Хабаровск, ул. Клубная, д. 30",0,26520,2420,,,,
6098,"г. Хабаровск, ул. Клубная, д. 33",0,64188,5902,,,,
6099,"г. Хабаровск, ул. Клубная, д. 34",1,58646,3305.7,,,,
6100,"г. Хабаровск, ул. Клубная, д. 35",0,57607,1569.3,,,,
6101,"г. Хабаровск, ул. Клубная, д. 36",0,103886,5839.6,,,,
6102,"г. Хабаровск, ул. Клубная, д. 6А",0,101378,5912.6,,,,
6103,"г. Хабаровск, ул. Клубная, д. 8",0,80822,4413.6,,,,
6104,"г. Хабаровск, ул. Клубная, д. 9",0,118858,8018.3,,,,
6105,"г. Хабаровск, ул. Княжничная, д. 1",0,47313,2720.9,,,,
6106,"г. Хабаровск, ул. Княжничная, д. 3",0,32356,3829.9,,,,
6107,"г. Хабаровск, ул. Княжничная, д. 5",0,117058,6660.6,,,,
6108,"г. Хабаровск, ул. Княжничная, д. 5А",2,87720,4226,,,,
6109,"г. Хабаровск, ул. Кола Бельды, д. 5",0,143489,26670.3,,,,
6110,"г. Хабаровск, ул. Коммунаров, д. 27",0,14862,100,,,,
6111,"г. Хабаровск, ул. Комсомольская, д. 0",0,72237,8262.5,,,,
6112,"г. Хабаровск, ул. Комсомольская, д. 101",0,125329,9108,,,,
6113,"г. Хабаровск, ул. Комсомольская, д. 103",0,20041,526.4,,,,
6114,"г. Хабаровск, ул. Комсомольская, д. 103 А",0,27166,430.4,,,,
6115,"г. Хабаровск, ул. Комсомольская, д. 105а",0,50349,3543,,,,
6116,"г. Хабаровск, ул. Комсомольская, д. 122",0,88998,11646.8,,,,
6117,"г. Хабаровск, ул. Комсомольская, д. 14",0,24254,296.6,,,,
6118,"г. Хабаровск, ул. Комсомольская, д. 16",4,13230,525,,,,
6119,"г. Хабаровск, ул. Комсомольская, д. 18",0,27200,511.7,,,,
6120,"г. Хабаровск, ул. Комсомольская, д. 28",0,106845,13605.2,,,,
6121,"г. Хабаровск, ул. Комсомольская, д. 30",0,40282,1635.9,,,,
6122,"г. Хабаровск, ул. Комсомольская, д. 34",0,59084,5290.1,,,,
6123,"г. Хабаровск, ул. Комсомольская, д. 38",0,32049,3240.3,,,,
6124,"г. Хабаровск, ул. Комсомольская, д. 4, стр. Б",0,41113,790,,,,
6125,"г. Хабаровск, ул. Комсомольская, д. 42",0,34229,565.4,,,,
6126,"г. Хабаровск, ул. Комсомольская, д. 48",0,14078,166.4,,,,
6127,"г. Хабаровск, ул. Комсомольская, д. 52",0,39314,906.2,,,,
6128,"г. Хабаровск, ул. Комсомольская, д. 53",0,29734,2221.9,,,,
6129,"г. Хабаровск, ул. Комсомольская, д. 53, стр. Б",5,10505,166.7,,,,
6130,"г. Хабаровск, ул. Комсомольская, д. 53А",0,16163,339.1,,,,
6131,"г. Хабаровск, ул. Комсомольская, д. 55",0,15340,215.8,,,,
6132,"г. Хабаровск, ул. Комсомольская, д. 55А",0,10712,133.1,,,,
6133,"г. Хабаровск, ул. Комсомольская, д. 57",0,12157,217.5,,,,
6134,"г. Хабаровск, ул. Комсомольская, д. 62",0,55908,9043.6,,,,
6135,"г. Хабаровск, ул. Комсомольская, д. 66",0,12279,571.8,,,,
